No;City;Type
534;Мытищи;Большой
535;Наро-Фоминск;Средний
536;Ногинск;Средний
537;Одинцово;Большой
538;Ожерелье;Малый
539;Озёры;Малый
540;Орехово-Зуево;Большой
541;Павловский Посад;Средний
542;Пересвет;Малый
543;Подольск;Большой
544;Протвино;Малый
545;Пушкино;Большой
546;Пущино;Малый
547;Раменское;Средний
548;Реутов;Средний
549;Рошаль;Малый
550;Руза;Малый
551;Сергиев Посад;Большой
552;Серпухов;Большой
553;Солнечногорск;Средний
554;Старая Купавна;Малый
555;Ступино;Средний
556;Талдом;Малый
557;Троицк;Малый
558;Фрязино;Средний
559;Химки;Большой
560;Хотьково;Малый
561;Черноголовка;Малый
562;Чехов;Средний
563;Шатура;Малый
564;Щёлково;Большой
565;Щербинка;Малый
566;Электрогорск;Малый
567;Электросталь;Большой
568;Электроугли;Малый
569;Юбилейный;Малый
570;Яхрома;Малый
571;Апатиты;Средний
572;Гаджиево;Малый
573;Заозёрск;Малый
574;Заполярный;Малый
575;Кандалакша;Малый
576;Кировск;Малый
577;Ковдор;Малый
578;Кола;Малый
579;Мончегорск;Малый
580;Мурманск;Крупный
581;Оленегорск;Малый
582;Островной;Малый
583;Полярные Зори;Малый
584;Полярный;Малый
585;Североморск;Средний
586;Снежногорск;Малый
587;Нарьян-Мар;Малый
588;Арзамас;Большой
589;Балахна;Средний
590;Богородск;Малый
591;Бор;Средний
592;Ветлуга;Малый
593;Володарск;Малый
594;Ворсма;Малый
595;Выкса;Средний
596;Горбатов;Малый
597;Городец;Малый
598;Дзержинск;Большой
599;Заволжье;Малый
600;Княгинино;Малый
601;Кстово;Средний
602;Кулебаки;Малый
603;Лукоянов;Малый
604;Лысково;Малый
605;Навашино;Малый
606;Нижний Новгород;Миллионник
607;Павлово;Средний
608;Первомайск;Малый
609;Перевоз;Малый
610;Саров;Средний
611;Семёнов;Малый
612;Сергач;Малый
613;Урень;Малый
614;Чкаловск;Малый
615;Шахунья;Малый
616;Боровичи;Средний
617;Валдай;Малый
618;Великий Новгород;Большой
619;Малая Вишера;Малый
620;Окуловка;Малый
621;Пестово;Малый
622;Сольцы;Малый
623;Старая Русса;Малый
624;Холм;Малый
625;Чудово;Малый
626;Барабинск;Малый
627;Бердск;Средний
628;Болотное;Малый
629;Искитим;Средний
630;Карасук;Малый
631;Каргат;Малый
632;Куйбышев;Малый
633;Купино;Малый
634;Новосибирск;Миллионник
635;Обь;Малый
636;Татарск;Малый
637;Тогучин;Малый
638;Черепаново;Малый
639;Чулым;Малый
640;Исилькуль;Малый
641;Калачинск;Малый
642;Называевск;Малый
643;Омск;Миллионник
644;Тара;Малый
645;Тюкалинск;Малый
646;Абдулино;Малый
647;Бугуруслан;Средний
648;Бузулук;Средний
649;Гай;Малый
650;Кувандык;Малый
651;Медногорск;Малый
652;Новотроицк;Средний
653;Оренбург;Крупнейший
654;Орск;Большой
655;Соль-Илецк;Малый
656;Сорочинск;Малый
657;Ясный;Малый
658;Болхов;Малый
659;Дмитровск;Малый
660;Ливны;Средний
661;Малоархангельск;Малый
662;Мценск;Малый
663;Новосиль;Малый
664;Орёл;Крупный
665;Белинский;Малый
666;Городище;Малый
667;Заречный;Средний
668;Каменка;Малый
669;Кузнецк;Средний
670;Нижний Ломов;Малый
671;Никольск;Малый
672;Пенза;Крупнейший
673;Сердобск;Малый
674;Спасск;Малый
675;Сурск;Малый
676;Александровск;Малый
677;Березники;Большой
678;Верещагино;Малый
679;Горнозаводск;Малый
680;Гремячинск;Малый
681;Губаха;Малый
682;Добрянка;Малый
683;Кизел;Малый
684;Красновишерск;Малый
685;Краснокамск;Средний
686;Кудымкар;Малый
687;Кунгур;Средний
688;Лысьва;Средний
689;Нытва;Малый
690;Оса;Малый
691;Оханск;Малый
692;Очёр;Малый
693;Пермь;Миллионник
694;Соликамск;Средний
695;Усолье;Малый
696;Чайковский;Средний
697;Чердынь;Малый
698;Чёрмоз;Малый
699;Чернушка;Малый
700;Чусовой;Малый
701;Арсеньев;Средний
702;Артём;Большой
703;Большой Камень;Малый
704;Владивосток;Крупнейший
705;Дальнегорск;Малый
706;Дальнереченск;Малый
707;Лесозаводск;Малый
708;Находка;Большой
709;Партизанск;Малый
710;Спасск-Дальний;Малый
711;Уссурийск;Большой
712;Фокино;Малый
713;Великие Луки;Средний
714;Гдов;Малый
715;Дно;Малый
716;Невель;Малый
717;Новоржев;Малый
718;Новосокольники;Малый
719;Опочка;Малый
720;Остров;Малый
721;Печоры;Малый
722;Порхов;Малый
723;Псков;Большой
724;Пустошка;Малый
725;Пыталово;Малый
726;Себеж;Малый
727;Азов;Средний
728;Аксай;Малый
729;Батайск;Большой
730;Белая Калитва;Малый
731;Волгодонск;Большой
732;Гуково;Средний
733;Донецк;Средний
734;Зверево;Малый
735;Зерноград;Малый
736;Каменск-Шахтинский;Средний
737;Константиновск;Малый
738;Красный Сулин;Малый
739;Миллерово;Малый
740;Морозовск;Малый
741;Новочеркасск;Большой
742;Новошахтинск;Большой
743;Пролетарск;Малый
744;Ростов-на-Дону;Миллионник
745;Сальск;Средний
746;Семикаракорск;Малый
747;Таганрог;Крупный
748;Цимлянск;Малый
749;Шахты;Большой
750;Касимов;Малый
751;Кораблино;Малый
752;Михайлов;Малый
753;Новомичуринск;Малый
754;Рыбное;Малый
755;Ряжск;Малый
756;Рязань;Крупнейший
757;Сасово;Малый
758;Скопин;Малый
759;Спас-Клепики;Малый
760;Спасск-Рязанский;Малый
761;Шацк;Малый
762;Жигулёвск;Средний
763;Кинель;Малый
764;Нефтегорск;Малый
765;Новокуйбышевск;Большой
766;Октябрьск;Малый
767;Отрадный;Малый
768;Похвистнево;Малый
769;Самара;Миллионник
770;Сызрань;Большой
771;Тольятти;Крупнейший
772;Чапаевск;Средний
773;Зеленогорск;Малый
774;Колпино;Большой
775;Красное Село;Малый
776;Кронштадт;Малый
777;Ломоносов;Малый
778;Павловск;Малый
779;Петергоф;Средний
780;Пушкин;Средний
781;Санкт-Петербург;Миллионник
782;Сестрорецк;Малый
783;Аркадак;Малый
784;Аткарск;Малый
785;Балаково;Большой
786;Балашов;Средний
787;Вольск;Средний
788;Ершов;Малый
789;Калининск;Малый
790;Красноармейск;Малый
791;Красный Кут;Малый
792;Маркс;Малый
793;Новоузенск;Малый
794;Петровск;Малый
795;Пугачёв;Малый
796;Ртищево;Малый
797;Саратов;Крупнейший
798;Хвалынск;Малый
799;Шиханы;Малый
800;Энгельс;Большой
801;Александровск-Сахалинский;Малый
802;Анива;Малый
803;Долинск;Малый
804;Корсаков;Малый
805;Курильск;Малый
806;Макаров;Малый
807;Невельск;Малый
808;Оха;Малый
809;Поронайск;Малый
810;Северо-Курильск;Малый
811;Томари;Малый
812;Углегорск;Малый
813;Холмск;Малый
814;Шахтёрск;Малый
815;Южно-Сахалинск;Большой
816;Алапаевск;Малый
817;Арамиль;Малый
818;Артёмовский;Малый
819;Асбест;Средний
820;Берёзовский;Средний
821;Богданович;Малый
822;Верхний Тагил;Малый
823;Верхняя Пышма;Средний
824;Верхняя Салда;Малый
825;Верхняя Тура;Малый
826;Верхотурье;Малый
827;Волчанск;Малый
828;Дегтярск;Малый
829;Екатеринбург;Миллионник
830;Заречный;Малый
831;Ивдель;Малый
832;Ирбит;Малый
833;Каменск-Уральский;Большой
834;Камышлов;Малый
835;Карпинск;Малый
836;Качканар;Малый
837;Кировград;Малый
838;Краснотурьинск;Средний
839;Красноуральск;Малый
840;Красноуфимск;Средний
841;Кушва;Малый
842;Лесной;Средний
843;Михайловск;Малый
844;Невьянск;Малый
845;Нижние Серги;Малый
846;Нижний Тагил;Крупный
847;Нижняя Салда;Малый
848;Нижняя Тура;Малый
849;Новая Ляля;Малый
850;Новоуральск;Средний
851;Первоуральск;Большой
852;Полевской;Средний
853;Ревда;Средний
854;Реж;Малый
855;Североуральск;Малый
856;Серов;Средний
857;Среднеуральск;Малый
858;Сухой Лог;Малый
859;Сысерть;Малый
860;Тавда;Малый
861;Талица;Малый
862;Туринск;Малый
863;Алагир;Малый
864;Ардон;Малый
865;Беслан;Малый
866;Владикавказ;Крупный
867;Дигора;Малый
868;Моздок;Малый
869;Велиж;Малый
870;Вязьма;Средний
871;Гагарин;Малый
872;Демидов;Малый
873;Десногорск;Малый
874;Дорогобуж;Малый
875;Духовщина;Малый
876;Ельня;Малый
877;Починок;Малый
878;Рославль;Средний
879;Рудня;Малый
880;Сафоново;Малый
881;Смоленск;Крупный
882;Сычёвка;Малый
883;Ярцево;Малый
884;Благодарный;Малый
885;Будённовск;Средний
886;Георгиевск;Средний
887;Ессентуки;Большой
888;Железноводск;Малый
889;Зеленокумск;Малый
890;Изобильный;Малый
891;Ипатово;Малый
892;Кисловодск;Большой
893;Лермонтов;Малый
894;Минеральные Воды;Средний
895;Михайловск;Средний
896;Невинномысск;Большой
897;Нефтекумск;Малый
898;Новоалександровск;Малый
899;Новопавловск;Малый
900;Пятигорск;Большой
901;Светлоград;Малый
902;Ставрополь;Крупный
903;Жердевка;Малый
904;Кирсанов;Малый
905;Котовск;Малый
906;Мичуринск;Средний
907;Моршанск;Малый
908;Рассказово;Малый
909;Тамбов;Крупный
910;Уварово;Малый
911;Агрыз;Малый
912;Азнакаево;Малый
913;Альметьевск;Большой
914;Арск;Малый
915;Бавлы;Малый
916;Болгар;Малый
917;Бугульма;Средний
918;Буинск;Малый
919;Елабуга;Средний
920;Заинск;Малый
921;Зеленодольск;Средний
922;Казань;Миллионник
923;Лаишево;Малый
924;Лениногорск;Средний
